car_model,powertrain,n_clips,n_routes,n_vehicles,spd_mean,spd_std,acc_mean,pct_lead,pct_steer,pct_brake,pct_gas
RIVIAN_R1_GEN1,ICE,2127,265,16,61.325,24.886,-0.052,0.395,0.276,0.15,0.327
ACURA_MDX_3G_MMR,ICE,1863,264,1,42.398,23.428,-0.073,0.545,0.694,0.651,0.167
FORD_F_150_MK14,ICE,1224,163,11,49.22,29.68,-0.285,0.306,0.498,0.865,0.039
CHEVROLET_SILVERADO,ICE,637,98,3,57.286,34.898,0.048,0.739,0.383,0.306,0.465
TOYOTA_PRIUS,HEV/PHEV,481,57,12,46.728,29.998,-0.18,0.453,0.403,0.796,0.056
HONDA_CIVIC,ICE,468,107,4,59.129,29.534,-0.148,0.635,0.425,0.509,0.419
TESLA_AP3_MODEL_3,BEV,432,62,11,58.053,29.52,-0.186,0.475,0.572,0.35,0.326
FORD_MAVERICK_MK1,HEV/PHEV,294,25,2,70.491,36.181,-0.096,0.65,0.412,0.847,0.054
HYUNDAI_IONIQ_5,BEV,266,49,10,62.932,31.731,-0.276,0.677,0.485,0.624,0.154
CHEVROLET_BOLT_EUV_2022,BEV,243,33,6,66.706,33.739,-0.208,0.605,0.346,0.35,0.23
TOYOTA_RAV4_TSS2_2023,ICE,228,36,5,53.469,35.024,-0.284,0.557,0.298,0.746,0.132
RAM_HD_5TH_GEN,ICE,221,13,2,80.559,31.431,-0.241,0.462,0.756,0.9,0.05
VOLKSWAGEN_JETTA_MK7,ICE,215,18,1,44.085,27.639,-0.675,0.428,0.395,0.642,0.377
KIA_EV6,BEV,208,30,7,54.436,27.073,-0.296,0.423,0.327,0.803,0.005
VOLKSWAGEN_GOLF_MK7,ICE,192,29,3,50.132,35.624,-0.601,0.542,0.224,0.672,0.151
KIA_NIRO_EV,BEV,185,38,5,48.451,34.245,-0.061,0.443,0.297,0.405,0.259
HYUNDAI_IONIQ_6,ICE,177,33,1,60.058,28.468,-0.034,0.271,0.147,0.26,0.254
VOLKSWAGEN_ATLAS_MK1,ICE,153,13,2,51.842,29.261,-0.255,0.608,0.392,0.542,0.333
TESLA_MODEL_X,ICE,152,34,2,62.61,34.843,-0.066,0.401,0.513,0.507,0.23
HYUNDAI_IONIQ_5_2022,BEV,145,33,5,62.395,33.78,-0.153,0.572,0.407,0.586,0.145
TESLA_MODELY,BEV,141,21,8,46.655,31.376,0.061,0.482,0.567,0.489,0.305
HONDA_CIVIC_2022,ICE,141,21,3,64.651,29.395,-0.263,0.617,0.241,0.638,0.17
KIA_EV6_2022,BEV,138,14,4,26.945,25.438,-0.441,0.761,0.261,0.862,0.043
HYUNDAI_SONATA_HEV_2024,HEV/PHEV,134,6,1,43.466,21.478,-0.188,0.5,0.157,0.866,0.112
FORD_ESCAPE_MK4_5,ICE,132,27,1,60.765,26.489,-0.067,0.742,0.242,0.833,0.152
VOLKSWAGEN_SHARAN_MK2,ICE,131,17,3,34.132,22.917,-0.139,0.649,0.313,0.824,0.031
HONDA_CIVIC_BOSCH,ICE,130,15,3,60.065,29.032,-0.055,0.477,0.346,0.846,0.108
VOLKSWAGEN_PASSAT_MK8,ICE,119,2,2,81.564,28.735,-0.149,0.664,0.597,0.067,0.916
GENESIS_G70_2024,ICE,115,24,2,73.097,32.524,-0.082,0.574,0.313,0.591,0.165
HONDA_ODYSSEY_2018,ICE,115,8,1,78.0,39.988,-0.215,0.67,0.348,0.87,0.104
HYUNDAI_KONA_ELECTRIC_2019,BEV,113,26,3,39.855,19.501,-0.131,0.646,0.558,0.735,0.159
VOLKSWAGEN_PASSAT_NMS,ICE,108,12,1,49.361,32.712,-0.323,0.62,0.343,0.796,0.194
CHEVROLET_BOLT_EUV,BEV,106,19,3,62.667,30.5,-0.019,0.377,0.387,0.094,0.415
CHEVROLET_SILVERADO_1500_2020,ICE,102,13,1,55.523,31.629,-0.083,0.657,0.314,0.461,0.294
TOYOTA_ALPHARD_2020,ICE,100,2,1,33.971,20.6,-0.272,0.55,0.58,0.93,0.01
HYUNDAI_SONATA,ICE,98,6,1,62.776,33.559,-0.598,0.48,0.449,0.918,0.02
HONDA_ACCORD_11G,ICE,97,11,3,56.326,25.225,-0.306,0.485,0.691,0.887,0.093
TOYOTA_CAMRY_2021,ICE,95,12,2,54.993,29.07,-0.186,0.632,0.4,0.642,0.105
TOYOTA_COROLLA,ICE,92,7,5,43.325,28.048,-0.116,0.75,0.522,0.761,0.228
HYUNDAI_PALISADE_2023,ICE,92,21,4,59.169,24.537,0.04,0.446,0.38,0.761,0.13
HONDA_FIT_4G,ICE,90,17,1,41.821,23.062,-0.351,0.7,0.178,0.744,0.044
KIA_SPORTAGE_5TH_GEN,ICE,84,13,3,49.339,29.56,-0.167,0.476,0.381,0.845,0.083
CHEVROLET_VOLT_PREMIER_2018,HEV/PHEV,81,11,2,33.146,29.748,-0.046,0.432,0.21,0.63,0.111
HYUNDAI_PALISADE,ICE,79,14,1,54.117,20.299,-0.14,0.506,0.127,0.797,0.063
FORD_MUSTANG_MACH_E_MK1,BEV,79,23,2,81.59,31.995,-0.432,0.671,0.696,0.823,0.076
VOLKSWAGEN_TIGUAN_MK2,ICE,78,15,3,66.972,31.028,-0.275,0.474,0.564,0.744,0.205
HYUNDAI_KONA_EV,ICE,78,6,2,45.883,22.958,-0.044,0.372,0.346,0.962,0.038
TOYOTA_CAMRY_TSS2,ICE,78,10,3,70.952,25.39,-0.133,0.359,0.5,0.692,0.026
TOYOTA_COROLLA_TSS2,ICE,77,11,8,59.342,29.513,-0.281,0.416,0.39,0.377,0.286
PORSCHE_MACAN_MK1,ICE,76,17,2,59.372,25.956,-0.152,0.316,0.776,0.566,0.263
KIA_CARNIVAL_4TH_GEN,ICE,73,11,3,49.867,32.139,-0.331,0.534,0.384,0.877,0.027
SKODA_SUPERB_MK3,ICE,69,8,2,52.736,27.394,-0.329,0.333,0.449,0.841,0.029
HONDA_ACCORD_HYBRID_2018,HEV/PHEV,66,18,1,69.624,30.927,-0.101,0.682,0.364,0.5,0.348
KIA_NIRO_PHEV_2022,ICE,65,11,2,45.797,30.255,-0.523,0.569,0.246,0.785,0.077
HONDA_CITY_7G,ICE,65,11,1,47.161,29.109,-0.247,0.446,0.892,1.0,0.031
CHEVROLET_TRAILBLAZER,ICE,64,8,2,34.345,23.664,-0.17,0.203,0.453,0.719,0.125
HYUNDAI_ELANTRA_2022_NON_SCC,ICE,64,7,1,66.579,32.749,-0.127,0.703,0.094,0.922,0.0
VOLKSWAGEN_ID4_MK1,ICE,60,13,2,49.715,31.894,-0.666,0.45,0.267,0.9,0.117
GENESIS_GV60_EV_1ST_GEN,BEV,59,10,1,60.376,23.893,-0.378,0.203,0.525,0.508,0.068
HONDA_CRV_6G,ICE,59,14,4,62.834,27.987,-0.175,0.288,0.61,0.458,0.102
HYUNDAI_ELANTRA_HEV_2024,ICE,58,14,2,40.867,21.367,0.007,0.466,0.397,0.828,0.052
VOLVO_V60,ICE,57,5,1,92.529,22.295,-0.071,0.211,0.807,0.404,0.07
KIA_EV9,ICE,53,6,2,48.766,23.597,-0.077,0.396,0.642,0.509,0.132
MAZDA_CX5_2022,ICE,52,7,2,49.687,29.104,-0.044,0.404,0.269,0.788,0.038
SUBARU_IMPREZA,ICE,51,7,2,35.542,20.583,-0.296,0.765,0.392,0.961,0.0
HONDA_ACCORD,ICE,50,5,3,75.163,48.563,-0.405,0.54,0.48,0.88,0.04
RAM_1500_5TH_GEN,ICE,47,7,4,63.244,36.353,-0.166,0.34,0.468,0.872,0.021
HYUNDAI_IONIQ_6_2023,BEV,47,7,1,59.898,31.808,0.015,0.596,0.191,0.979,0.213
TOYOTA_HIGHLANDER_2020,ICE,46,6,2,36.993,28.967,-0.072,0.543,0.543,0.804,0.109
TOYOTA_RAV4_PRIME,HEV/PHEV,46,15,9,70.275,33.396,-0.024,0.435,0.435,0.457,0.174
KIA_NIRO_HYBRID_2ND_GEN,HEV/PHEV,45,4,1,63.492,27.89,-0.258,0.467,0.4,0.667,0.044
NISSAN_LEAF,BEV,43,8,2,67.303,22.728,-0.017,0.605,0.395,0.256,0.326
TOYOTA_RAV4_2023,ICE,40,11,4,61.136,27.722,0.0,0.4,0.575,0.6,0.1
HYUNDAI_IONIQ_PHEV_2020,HEV/PHEV,39,5,1,42.67,25.894,-0.198,0.154,0.231,0.897,0.0
GENESIS_G70_1ST_GEN_FL,ICE,38,8,1,81.502,26.893,-0.019,0.526,0.447,0.579,0.184
HYUNDAI_ELANTRA_2021,ICE,35,5,2,54.427,23.522,-0.039,0.686,0.086,0.743,0.114
KiaNiro2023,HEV/PHEV,35,12,2,64.266,33.935,-0.183,0.2,0.514,0.771,0.114
CHEVROLET_EQUINOX,ICE,34,7,1,45.99,27.71,-0.326,0.5,0.265,0.912,0.059
HONDA_HRV_3G,ICE,33,7,1,33.943,20.553,-0.128,0.788,0.515,0.576,0.394
HYUNDAI_IONIQ_5_PE,ICE,31,6,1,67.133,25.645,0.007,0.323,0.452,0.645,0.097
AUDI_Q5_MK1,ICE,31,3,1,58.408,22.428,-0.276,0.258,0.452,0.355,0.29
HONDA_ODYSSEY_CHN_2019,ICE,31,3,1,32.396,18.521,-0.058,0.903,0.323,0.29,0.226
ACURA_INTEGRA,ICE,29,8,1,52.862,17.064,-0.084,0.345,0.379,1.0,0.0
FORD_BRONCO_SPORT_MK1,ICE,29,5,3,66.285,45.259,0.253,0.586,0.517,0.621,0.207
HYUNDAI_TUCSON_HYBRID_4TH_GEN,HEV/PHEV,27,5,1,54.576,35.78,-0.247,0.259,0.407,0.926,0.0
GENESIS_GV70_1ST_GEN,ICE,27,2,1,70.569,24.3,-0.142,0.778,0.481,1.0,0.0
HONDA_CLARITY_2018,HEV/PHEV,27,3,1,56.036,24.991,-0.167,0.296,0.481,1.0,0.037
HYUNDAI_SONATA_2020,ICE,26,1,1,44.969,41.869,-0.294,0.538,0.308,1.0,0.0
HYUNDAI_SANTA_FE_5TH_GEN,ICE,26,3,1,107.086,26.709,-0.16,0.346,0.654,0.731,0.077
SUBARU_CROSSTREK_2024,ICE,25,4,1,37.546,12.746,-0.113,0.32,0.52,0.32,0.64
NISSAN_ROGUE,ICE,25,2,1,73.982,32.77,0.261,0.68,0.36,0.04,0.44
HYUNDAI_IONIQ_ELECTRIC_2020,BEV,25,3,1,18.066,13.968,-0.483,0.84,0.28,0.76,0.24
SUBARU_FORESTER,ICE,24,4,2,77.592,24.152,-0.043,0.5,0.25,0.583,0.083
HYUNDAI_SONATA_HYBRID,HEV/PHEV,24,9,4,67.897,36.772,-0.071,0.333,0.333,0.667,0.042
HYUNDAI_KONA,ICE,23,4,1,41.008,29.336,0.142,0.478,0.565,0.217,0.652
VOLKSWAGEN_TAOS_MK1,ICE,23,3,1,89.485,26.661,-0.07,0.783,0.217,0.174,0.87
FORD_F_150_LIGHTNING_MK1,BEV,21,9,2,46.197,22.907,-0.416,0.524,0.333,0.429,0.381
HONDA_ODYSSEY_5G_MMR,ICE,21,8,2,49.972,41.468,-0.489,0.524,0.429,0.905,0.095
HONDA_CRV_5G,ICE,20,3,1,58.976,18.371,-0.134,0.25,0.3,0.8,0.15
SUBARU_FORESTER_2022,ICE,20,3,1,38.332,35.138,0.204,0.7,0.25,0.1,0.55
HYUNDAI_ELANTRA_2024,ICE,19,7,1,56.912,28.63,-0.084,0.684,0.263,1.0,0.0
JEEP_CHEROKEE_5TH_GEN,ICE,19,4,1,87.506,21.027,-0.474,0.789,0.579,0.158,0.053
HONDA_PILOT_4G,ICE,19,3,2,46.559,22.304,-0.059,0.263,0.421,0.842,0.211
SKODA_KODIAQ_1ST_GEN,ICE,19,7,1,18.055,12.244,-0.128,0.474,0.632,0.895,0.053
VOLKSWAGEN_JETTA_MK6,ICE,19,1,1,43.038,22.25,-0.924,0.211,0.632,0.684,0.316
HONDA_CLARITY,HEV/PHEV,19,5,2,69.268,25.987,0.05,0.316,0.158,0.526,0.105
HYUNDAI_ELANTRA_HEV_2021,ICE,19,1,1,42.716,31.748,-0.348,0.211,0.053,1.0,0.0
KIA_NIRO_EV_2020,BEV,18,6,1,71.836,42.149,0.005,0.611,0.222,0.778,0.056
CHEVROLET_VOLT_PREMIER_2017,HEV/PHEV,17,5,2,50.689,33.242,0.127,0.353,0.471,0.471,0.118
KIA_STINGER,ICE,17,5,1,44.602,27.748,-0.514,0.706,0.118,0.471,0.353
HONDA_PILOT,ICE,17,2,1,67.165,22.72,0.005,0.235,0.471,0.353,0.0
TESLA_MODEL_S_RAVEN,BEV,17,3,2,60.488,26.597,0.019,0.471,0.529,0.824,0.294
KIA_CARNIVAL_HEV_4TH_GEN,ICE,16,4,3,56.562,26.965,-0.034,0.438,0.312,0.875,0.0
HYUNDAI_SANTA_FE,ICE,16,3,1,60.5,33.279,-0.296,0.875,0.5,0.812,0.188
HYUNDAI_SONATA_2024,ICE,16,1,1,40.714,30.125,-0.378,0.375,0.312,1.0,0.0
LEXUS_ES_TSS2,ICE,16,3,2,89.899,18.639,-0.112,0.625,0.312,0.25,0.312
KIA_NIRO_EV_2ND_GEN,BEV,16,6,2,46.587,33.221,-0.44,0.312,0.625,0.938,0.0
SUBARU_OUTBACK_PREGLOBAL,ICE,15,2,1,50.185,19.118,0.051,0.6,0.733,0.733,0.067
TOYOTA_HIGHLANDER,ICE,15,1,1,63.644,19.734,0.003,0.267,0.4,0.067,0.533
JEEP_GRAND_CHEROKEE,ICE,14,3,1,59.945,30.846,-0.143,0.5,0.286,0.786,0.143
SUBARU_LEGACY_2025,ICE,14,1,1,62.54,24.357,-0.356,0.5,0.143,0.786,0.071
FORD_RANGER_MK2,ICE,14,4,2,36.996,26.285,-0.003,0.214,0.429,0.929,0.0
HYUNDAI_IONIQ_HEV_2022,ICE,11,2,1,55.123,21.521,0.104,0.364,0.091,0.818,0.091
SUBARU_IMPREZA_2020,ICE,10,4,1,43.101,39.925,0.251,0.7,0.3,0.6,0.0
HYUNDAI_KONA_2022,ICE,10,2,1,53.734,20.402,-0.572,0.7,0.1,0.4,0.3
HYUNDAI_SANTA_FE_2019,ICE,10,2,1,46.302,16.014,-1.015,0.1,0.5,0.9,0.0
HONDA_ODYSSEY,ICE,10,2,1,100.823,28.423,-0.392,0.4,0.1,0.9,0.0
VOLVO_V40_2017,ICE,10,1,1,24.831,18.383,0.102,0.5,0.0,0.0,0.0
FORD_EXPLORER_MK6,ICE,10,1,1,63.682,26.041,-0.194,0.1,0.2,1.0,0.0
AUDI_A4_4TH_GEN,ICE,10,1,1,72.353,19.635,0.053,0.6,0.8,0.0,0.1
JEEP_GRAND_CHEROKEE_2019,ICE,10,3,3,50.74,25.886,-0.577,0.4,0.7,0.9,0.1
VOLKSWAGEN_CADDY_3RD-GEN,ICE,9,2,1,77.89,21.67,-0.436,0.667,0.333,0.778,0.222
HYUNDAI_KONA_EV_2022,ICE,9,3,1,75.882,28.186,-0.021,0.333,0.667,0.222,0.111
VOLKSWAGEN_UP_MK1,ICE,9,1,1,30.887,15.419,-0.37,0.667,0.222,1.0,0.0
KIA_CEED_PHEV_2022_NON_SCC,ICE,9,2,1,73.893,30.187,0.032,0.778,0.111,0.222,0.111
HYUNDAI_KONA_2ND_GEN,ICE,8,1,1,82.602,23.158,-0.044,0.5,0.375,0.25,0.125
VOLKSWAGEN_TRANSPORTER_T61,ICE,8,1,1,36.084,14.054,-0.02,0.0,0.625,0.5,0.0
HYUNDAI_TUCSON_HEV_2025,ICE,8,1,1,84.328,33.969,-0.172,1.0,0.25,0.625,0.0
LEXUS_RC_TSS2,ICE,8,2,1,65.859,31.03,-0.029,0.25,0.25,0.75,0.0
KIA_K8_HYBRID_1ST_GEN,HEV/PHEV,7,1,1,37.59,14.423,-0.251,0.0,0.143,0.857,0.0
LEXUS_RX_TSS2,ICE,6,1,1,18.22,15.138,-0.336,0.833,0.333,0.5,0.0
VOLKSWAGEN_TOURAN_2ND_GEN,ICE,6,2,1,46.215,14.686,-0.193,1.0,0.5,0.667,0.0
VOLKSWAGEN_ID4_MK2,ICE,6,4,1,47.987,52.149,-1.449,0.833,0.333,1.0,0.0
CHEVROLET_EQUINOX_2019,ICE,5,1,1,56.207,17.177,-0.823,0.2,0.4,1.0,0.0
LEXUS_LC_2024,ICE,5,1,1,59.586,9.888,-0.109,0.2,0.2,0.4,0.0
TOYOTA_YARIS,ICE,5,5,1,61.748,13.473,0.045,0.4,0.4,0.4,0.2
GENESIS_GV80_2025,ICE,5,2,1,38.309,33.565,0.755,0.8,0.8,0.4,0.2
HONDA_CRV_HYBRID,ICE,5,1,1,52.461,33.509,0.183,0.4,0.6,1.0,0.0
HYUNDAI_TUCSON_2019,ICE,4,1,1,30.099,35.084,-0.241,0.75,0.5,0.75,0.0
GENESIS_GV80,ICE,4,1,1,33.904,16.578,-0.459,0.25,0.25,1.0,0.0
GENESIS_GV80_2024,ICE,4,1,1,57.668,23.203,-0.196,0.0,0.0,1.0,0.0
TOYOTA_HIGHLANDER_HYBRID_2020,HEV/PHEV,3,1,1,26.425,15.727,-0.148,0.333,0.333,0.667,0.0
HONDA_RIDGELINE_2017,ICE,3,1,1,48.344,4.723,0.486,1.0,0.0,0.333,0.333
KIA_EV6_2025,ICE,3,1,1,29.92,3.49,-0.626,1.0,1.0,1.0,0.0
LEXUS_RX_HYBRID_2017,HEV/PHEV,3,2,1,108.118,12.611,-0.036,0.667,1.0,0.0,1.0
TOYOTA_RAV4_2017,ICE,3,1,1,67.861,18.652,-0.865,0.333,0.667,0.667,0.333
TESLA_MODEL_3,ICE,3,1,1,34.264,3.312,-0.575,0.0,0.333,1.0,0.667
SUBARU_ASCENT_2023,ICE,3,1,1,96.867,15.588,-0.078,0.667,0.333,1.0,0.0
SUBARU_OUTBACK_2018_-_2019,ICE,3,1,1,24.232,7.874,-0.738,0.0,1.0,0.667,0.333
BYD_ATTO3,ICE,2,1,1,29.239,1.694,0.124,0.0,0.0,1.0,0.0
SUBARU_CROSSTREK_2025,ICE,1,1,1,0.0,,0.0,1.0,0.0,0.0,0.0
TOYOTA_RAV4_HYBRID_2023,HEV/PHEV,1,1,1,128.234,,0.073,0.0,0.0,0.0,0.0
TOYOTA_HIGHLANDER_TSS2,ICE,1,1,1,46.388,,-0.601,0.0,1.0,1.0,0.0
